method,scenario,model_seed,p_node,m_node,mean_mp_attn
A0D,S2R,3,P2,M2,0.27009095886121826
A0D,S2R,3,P2,M3,0.16135195925051782
A0D,S2R,3,P2,M4,0.15791878512790256
A0D,S2R,3,P2,M5,0.2644930052717049
A0D,S2R,3,P3,M1,0.1500817203668507
A0D,S2R,3,P3,M2,0.17421718342982226
A0D,S2R,3,P3,M3,0.2639597742655658
A0D,S2R,3,P3,M4,0.15725469762592095
A0D,S2R,3,P3,M5,0.25448662416093526
A0D,S1R,4,P1,M1,0.3492186164263341
A0D,S1R,4,P1,M2,0.11198815236104366
A0D,S1R,4,P1,M3,0.11564148119468724
A0D,S1R,4,P1,M4,0.22640873515714674
A0D,S1R,4,P1,M5,0.19674301546368
A0D,S1R,4,P2,M1,0.12697717159809294
A0D,S1R,4,P2,M2,0.3509706627752318
A0D,S1R,4,P2,M3,0.12371478921205427
A0D,S1R,4,P2,M4,0.20117958959687232
A0D,S1R,4,P2,M5,0.19715778659802613
A0D,S1R,4,P3,M1,0.09612546789773022
A0D,S1R,4,P3,M2,0.09601253110787578
A0D,S1R,4,P3,M3,0.31289115508129867
A0D,S1R,4,P3,M4,0.263383944447336
A0D,S1R,4,P3,M5,0.2315869015593771
A0D,S2R,4,P1,M1,0.33593728311819476
A0D,S2R,4,P1,M2,0.10262408855571035
A0D,S2R,4,P1,M3,0.110686512863414
A0D,S2R,4,P1,M4,0.23519799237913872
A0D,S2R,4,P1,M5,0.21555412331002108
A0D,S2R,4,P2,M1,0.09757209101086604
A0D,S2R,4,P2,M2,0.320119634074532
A0D,S2R,4,P2,M3,0.10994773752433931
A0D,S2R,4,P2,M4,0.21350505705939024
A0D,S2R,4,P2,M5,0.25885548015472215
A0D,S2R,4,P3,M1,0.0930100275547471
A0D,S2R,4,P3,M2,0.09806171748423051
A0D,S2R,4,P3,M3,0.34533709390922335
A0D,S2R,4,P3,M4,0.2369366418735345
A0D,S2R,4,P3,M5,0.2266545190361792
A0,S1R,0,P1,M1,0.19998757958955915
A0,S1R,0,P1,M2,0.199987534003787
A0,S1R,0,P1,M3,0.19998754926097073
A0,S1R,0,P1,M4,0.2000186496583355
A0,S1R,0,P1,M5,0.20001867930853917
A0,S1R,0,P2,M1,0.19998757965493782
A0,S1R,0,P2,M2,0.1999875340749915
A0,S1R,0,P2,M3,0.19998754932505478
A0,S1R,0,P2,M4,0.2000186495450556
A0,S1R,0,P2,M5,0.20001867918943345
A0,S1R,0,P3,M1,0.19998757913255566
A0,S1R,0,P3,M2,0.19998753354678353
A0,S1R,0,P3,M3,0.19998754879102099
A0,S1R,0,P3,M4,0.20001865033283636
A0,S1R,0,P3,M5,0.20001867996491524
A0,S2R,0,P1,M1,0.19998760004531912
A0,S2R,0,P1,M2,0.19998755730902185
A0,S2R,0,P1,M3,0.19998756934905654
A0,S2R,0,P1,M4,0.20001861801375834
A0,S2R,0,P1,M5,0.20001864892492907
A0,S2R,0,P2,M1,0.19998759993915968
A0,S2R,0,P2,M2,0.1999875571970366
A0,S2R,0,P2,M3,0.1999875692428971
A0,S2R,0,P2,M4,0.20001861814775226
A0,S2R,0,P2,M5,0.2000186490686327
A0,S2R,0,P3,M1,0.1999875995669543
A0,S2R,0,P3,M2,0.1999875568054118
A0,S2R,0,P3,M3,0.1999875688849326
A0,S2R,0,P3,M4,0.20001861872968726
A0,S2R,0,P3,M5,0.20001864962402785
A0,S1R,1,P1,M1,0.1864934931077924
A0,S1R,1,P1,M2,0.18582928451789554
A0,S1R,1,P1,M3,0.18257127915008187
A0,S1R,1,P1,M4,0.22296624493264924
A0,S1R,1,P1,M5,0.22213969770835132
A0,S1R,1,P2,M1,0.18648871682733167
A0,S1R,1,P2,M2,0.18582538377322083
A0,S1R,1,P2,M3,0.1825614471438395
A0,S1R,1,P2,M4,0.22297569384181842
A0,S1R,1,P2,M5,0.22214875790500102
A0,S1R,1,P3,M1,0.1864565491029017
A0,S1R,1,P3,M2,0.18579165441939668
A0,S1R,1,P3,M3,0.18253111981573983
A0,S1R,1,P3,M4,0.223024993035117
A0,S1R,1,P3,M5,0.2221956838915961
A0,S2R,1,P1,M1,0.18019828148878833
A0,S2R,1,P1,M2,0.18067149114507783
A0,S2R,1,P1,M3,0.17626518390613158
A0,S2R,1,P1,M4,0.23356438619897843
A0,S2R,1,P1,M5,0.22930065757497095
A0,S2R,1,P2,M1,0.18021161735420327
A0,S2R,1,P2,M2,0.18068275061006342
A0,S2R,1,P2,M3,0.17628133635123225
A0,S2R,1,P2,M4,0.23354261365859122
A0,S2R,1,P2,M5,0.22928168202137864
A0,S2R,1,P3,M1,0.1801971496051286
A0,S2R,1,P3,M2,0.18067265938834767
A0,S2R,1,P3,M3,0.17626269268572692
A0,S2R,1,P3,M4,0.23356549634519708
A0,S2R,1,P3,M5,0.2293020018551994
A0,S1R,2,P1,M1,0.20000032027398473
A0,S1R,2,P1,M2,0.20000004819574094
A0,S1R,2,P1,M3,0.19999994501652768
A0,S1R,2,P1,M4,0.19999977487336026
A0,S1R,2,P1,M5,0.1999999057258812
A0,S1R,2,P2,M1,0.2000003202066641
A0,S1R,2,P2,M2,0.20000004817049571
A0,S1R,2,P2,M3,0.19999994508708485
A0,S1R,2,P2,M4,0.19999977491737758
A0,S1R,2,P2,M5,0.19999990581391586
A0,S1R,2,P3,M1,0.20000032011345092
A0,S1R,2,P3,M2,0.2000000483070789
A0,S1R,2,P3,M3,0.1999999450268847
A0,S1R,2,P3,M4,0.19999977496463148
A0,S1R,2,P3,M5,0.19999990558411948
A0,S2R,2,P1,M1,0.20000009013778433
A0,S2R,2,P1,M2,0.1999999430079133
A0,S2R,2,P1,M3,0.1999999934673102
A0,S2R,2,P1,M4,0.19999992840063252
A0,S2R,2,P1,M5,0.2000000393534359
A0,S2R,2,P2,M1,0.20000009028731378
A0,S2R,2,P2,M2,0.19999994293153028
A0,S2R,2,P2,M3,0.1999999934614844
A0,S2R,2,P2,M4,0.19999992846083267
A0,S2R,2,P2,M5,0.20000003925892812
A0,S2R,2,P3,M1,0.20000008989957288
A0,S2R,2,P3,M2,0.19999994310565766
A0,S2R,2,P3,M3,0.19999999349579203
A0,S2R,2,P3,M4,0.1999999283915701
A0,S2R,2,P3,M5,0.20000003949584494
A0,S1R,3,P1,M1,0.2000068342538112
A0,S1R,3,P1,M2,0.2000068342538112
A0,S1R,3,P1,M3,0.2000068342538112
A0,S1R,3,P1,M4,0.19998974042817574
A0,S1R,3,P1,M5,0.19998974042752843
A0,S1R,3,P2,M1,0.20000694380841702
A0,S1R,3,P2,M2,0.20000694380841702
A0,S1R,3,P2,M3,0.20000694380841702
A0,S1R,3,P2,M4,0.1999895760609884
A0,S1R,3,P2,M5,0.1999895760603411
A0,S1R,3,P3,M1,0.20000683787876786
A0,S1R,3,P3,M2,0.20000683787876786
A0,S1R,3,P3,M3,0.20000683787876786
A0,S1R,3,P3,M4,0.1999897350269903
A0,S1R,3,P3,M5,0.19998973502634299
A0,S2R,3,P1,M1,0.20000781865351933
A0,S2R,3,P1,M2,0.20000781865351933
A0,S2R,3,P1,M3,0.20000781865351933
A0,S2R,3,P1,M4,0.19998826462804598
A0,S2R,3,P1,M5,0.19998826462804598
A0,S2R,3,P2,M1,0.2000078842904804
A0,S2R,3,P2,M2,0.2000078842904804
A0,S2R,3,P2,M3,0.2000078842904804
A0,S2R,3,P2,M4,0.19998816627908747
A0,S2R,3,P2,M5,0.19998816627908747
A0,S2R,3,P3,M1,0.20000784241575764
A0,S2R,3,P3,M2,0.20000784241575764
A0,S2R,3,P3,M3,0.20000784241575764
A0,S2R,3,P3,M4,0.19998822896170884
A0,S2R,3,P3,M5,0.19998822896106155
A0,S1R,4,P1,M1,0.22374734589449743
A0,S1R,4,P1,M2,0.27466422079841435
A0,S1R,4,P1,M3,0.2103379998401416
A0,S1R,4,P1,M4,0.14574332940497384
A0,S1R,4,P1,M5,0.14550710397741742
A0,S1R,4,P2,M1,0.22385213077845106
A0,S1R,4,P2,M2,0.27389398600799325
A0,S1R,4,P2,M3,0.21052992506766713
A0,S1R,4,P2,M4,0.14598014301116327
