method,scenario,model_seed,error_bin,num_rows,bin_num_rows,bin_entropy_mean,bin_entropy_std,bin_entropy_p95,bin_row_std_mean,bin_row_std_p95,bin_evidence_mass_mean,bin_track_mass_mean,bin_own_track_mass_mean,bin_other_track_mass_mean,bin_evidence_to_track_mass_ratio,entropy_mean,row_std_mean,evidence_mass_mean,track_mass_mean,own_track_mass_mean,other_track_mass_mean,evidence_to_track_mass_ratio,raw_residual_corr,residual_log_corr,residual_centered_corr,evidence_normalized_corr,within_evidence_gap_corr,low_spread_corr,low_spread_n_pairs,mid_spread_corr,mid_spread_n_pairs,high_spread_corr,high_spread_n_pairs,spread_low_threshold,spread_high_threshold,ranking_events,worst_track_hit_rate,top2_hit_rate,spearman_rank_corr,kendall_tau,worst_minus_best_attn,worst_minus_mean_attn,error_pos_n,error_pos_mean,error_pos_std,error_pos_min,error_pos_max,high_spread_event_share,w_s1_mean,w_s2_mean,w_s3_mean,g_s1_mean,g_s2_mean,g_s3_mean,cov_scale_s1_mean,cov_scale_s2_mean,cov_scale_s3_mean
A0D,S1R,0,low_error,6906,6906,1.4453371097676466,0.08578304716412287,1.5608360141063398,0.09288157193056862,0.19052696211078882,0.3543494580825818,0.6456505415404816,0.4178723769570087,0.22777816458347294,0.5488254640616056,1.4453371097676466,0.09288157193056862,0.3543494580825818,0.6456505415404816,0.4178723769570087,0.22777816458347294,0.5488254640616056,-0.020167486687767727,0.04787724710865895,-0.060514899776725306,-0.018409672369437056,-0.015270738261916347,0.04215082746637164,12432,-0.01165376585715651,12429,-0.06909885418240368,12432,0.1318467527627945,0.42936511635780333,13812,0.2837387778743122,0.63249348392702,-0.03641760787720823,-0.03412491553238729,-0.0025105029865612524,-0.004413624136825193,6906,0.5521215159481603,0.21457233120499597,0.006250965408980846,0.8834123015403748,0.25608166811468286,0.3791415838321335,0.38081684404317384,0.24004157751465802,0.9199830709921254,0.9102469743023117,0.9097633822358521,1.0494960106838072,1.072510755151864,1.2397067130147081
A0D,S1R,0,mid_error,9208,9208,1.4577494414838705,0.10912195161129815,1.5725983118077709,0.0846715001261143,0.18637126090315967,0.37914041827367134,0.6208595816598441,0.3842539819130874,0.2366055997467567,0.6106701571071096,1.4577494414838705,0.0846715001261143,0.37914041827367134,0.6208595816598441,0.3842539819130874,0.2366055997467567,0.6106701571071096,-0.006802488452082053,0.07578604557240641,-0.03594692023385235,0.0006683122456130398,0.02949699388366553,0.032763852819233615,16575,0.002318024707128974,16575,-0.035726146958524115,16575,0.1363368685124442,0.4493778496980667,18416,0.29382059079061684,0.6675173761946134,-0.021421589921807125,-0.022770055024616275,-0.0011232084659196042,-0.0037712509214437506,9208,1.394535823031729,0.35891154528281205,0.8836121559143066,2.185023784637451,0.2728605560382276,0.3874593399437573,0.36118080610719683,0.2513598609757371,0.9005750971227289,0.8922177180324193,0.889110512953805,1.2497235038143775,1.2170234366694705,1.4434476342540943
A0D,S1R,0,high_error,6906,6906,1.4698296119705807,0.14631562340611218,1.579274846868692,0.05775353287340114,0.11772276811122064,0.5520686135561789,0.4479313868742398,0.2276268895630605,0.22030449731117926,1.232484772743055,1.4698296119705807,0.05775353287340114,0.5520686135561789,0.4479313868742398,0.2276268895630605,0.22030449731117926,1.232484772743055,0.04054680689356336,0.1721655682268246,0.033888493936875146,0.07619573608502751,0.16406245581213466,0.014435767899598807,12432,0.030142784235503952,12429,0.09631317030885925,12432,0.25238789767026903,0.5521479904651639,13812,0.2837387778743122,0.7505068056762235,0.09618447726614537,0.0761656530553142,0.009280842959383476,-0.006848818419434835,6906,3.317281886490745,0.7932166376941843,2.186164379119873,6.951518535614014,0.38010425716768026,0.41855853191002945,0.19736717277145255,0.3840743066666013,0.8157872208522224,0.7769758783749073,0.8069659150185324,1.8016394863016807,2.0834512367408724,1.965076541748732
A0D,S1R,0,tail_error,1151,1151,1.4722967788827472,0.13279181605831475,1.57471801690529,0.05094644766458313,0.09383104356837224,0.5731327774490251,0.42686722248597375,0.21275596858438914,0.21411125390158464,1.3426488314357692,1.4722967788827472,0.05094644766458313,0.5731327774490251,0.42686722248597375,0.21275596858438914,0.21411125390158464,1.3426488314357692,0.0054200038500557225,0.1761520982184072,0.04085089952966761,0.0517233138766855,0.12989013704429525,-0.07173167455321153,2073,-0.009698039821788388,2070,0.14113726279517633,2073,0.2682519078254699,0.553974688053131,2302,0.28192875760208513,0.6694178974804518,0.024543874891398785,0.009267303793802485,0.0011730416994266775,-0.011934937204482708,1151,4.634123213492094,0.45948604956477546,4.110217571258545,6.951518535614014,0.39226759339704603,0.4367232556445937,0.09940552312579753,0.463871231766662,0.8031805798760919,0.7436853018560998,0.7941689516128818,1.5848800396525684,2.286585359341367,1.7445218833398033
A0D,S2R,0,low_error,6906,6906,1.467571609565375,0.10664594141348167,1.571558694779269,0.08318809794066455,0.18981924751635437,0.3405244494902977,0.6594755505112306,0.40165860762938144,0.25781694288184925,0.5163564429739972,1.467571609565375,0.08318809794066455,0.3405244494902977,0.6594755505112306,0.40165860762938144,0.25781694288184925,0.5163564429739972,0.002151571972824753,0.08746692063172389,-0.04353782644059482,0.0010711930732512206,0.011962348219123384,0.05176371104811506,12432,0.015252138646454243,12429,-0.05212279102808618,12432,0.12123704850673676,0.4134200565516947,13812,0.36728931364031275,0.6800608166811468,0.01629018245004344,0.013321749203591079,0.0002301111350754638,0.00022909476694454327,6906,0.7222985050087007,0.28375998567969557,0.00853178184479475,1.1757010221481323,0.18483927019982624,0.3642744806253554,0.3834530701430592,0.2522724561976248,0.9055888600153333,0.8949498949260115,0.8905790870668852,1.1355820491698525,1.1616509334094414,1.3996356287418226
A0D,S2R,0,mid_error,9208,9208,1.473954021714458,0.12250055305136129,1.573332109143028,0.0745584299133625,0.17349747169059956,0.3878048744963338,0.612195125683498,0.3541877800713369,0.25800734561216115,0.6334661257934077,1.473954021714458,0.0745584299133625,0.3878048744963338,0.612195125683498,0.3541877800713369,0.25800734561216115,0.6334661257934077,0.03610454320342474,0.39268084284754057,0.0882689591941009,0.018601951053015747,0.04301515563284757,0.04494957579054151,16575,-0.041240308237370134,16575,0.09021740256476642,16575,0.15403108298778534,0.5138562694191933,18416,0.38482841007819285,0.6994461337966985,0.040942658557775846,0.033847379090645814,0.00746041534803921,0.004806548246056275,9208,2.0537439373319404,0.708884259053862,1.175737738609314,3.6968228816986084,0.2621633362293658,0.37490186796536373,0.33285919016243914,0.29223895162792246,0.860459386227858,0.8248816440246035,0.8442294561505629,1.6165569809004081,2.5352155876278775,1.8390567613155504
A0D,S2R,0,high_error,6906,6906,1.4364658811464202,0.16593258237837355,1.5768685904707829,0.06546373377268032,0.14137193165094852,0.5731286280280632,0.4268713720400958,0.22518244401839208,0.20168892802170368,1.3426260592013408,1.4364658811464202,0.06546373377268032,0.5731286280280632,0.4268713720400958,0.22518244401839208,0.20168892802170368,1.3426260592013408,0.06302100158959477,0.2754703679304655,0.11670733428992677,0.04358472402313889,0.09018609244856424,-0.07642286921315082,12432,0.0029772539331246904,12429,0.24492103865018833,12432,0.3820514678955078,0.7500555537641047,13812,0.299449753837243,0.636909933391254,-0.0055386620330147695,0.006467805772757991,0.01983054413215362,0.0048386364452717,6906,5.2203279655980195,0.976853545735029,3.697251081466675,9.03509521484375,0.4656096148276861,0.39521240873151436,0.164665837747714,0.440121764355724,0.7332444869191136,0.636186595541168,0.7221553697987911,2.3348095007229985,5.728543810816112,2.391248824922306
A0D,S2R,0,tail_error,1151,1151,1.393775445340989,0.19301456985085536,1.5648768344367037,0.06604216222273904,0.15855793971321636,0.5935144551761709,0.406485543889742,0.21667961789202836,0.18980592599771368,1.4601120854058216,1.393775445340989,0.06604216222273904,0.5935144551761709,0.406485543889742,0.21667961789202836,0.18980592599771368,1.4601120854058216,0.05940615785475444,0.2824417860588798,0.09342399068486854,0.008545361017350301,0.019293384939932857,-0.11335683089265836,2073,0.08310888411865049,2070,0.21316268503194072,2073,0.37398254275321957,0.7729039371013641,2302,0.2836663770634231,0.5438748913987836,-0.061468288444830585,-0.03996524761077324,0.02275655348916707,0.0032815154407013184,1151,6.804812568462382,0.4713701689870641,6.239686965942383,9.03509521484375,0.47741094700260645,0.45073478473398954,0.1674770006936668,0.38178822342921326,0.723879701618937,0.6111803072675428,0.7031250436030503,2.0369713285712963,6.792452196573611,2.638917013730928
A0D,S1R,1,low_error,6906,6906,1.5096996540203762,0.06569147142277225,1.5653560283757828,0.06877018098800683,0.17376013479205613,0.3940104295903565,0.6059895704071262,0.35428924579937515,0.25170032460775105,0.6501934172326526,1.5096996540203762,0.06877018098800683,0.3940104295903565,0.6059895704071262,0.35428924579937515,0.25170032460775105,0.6501934172326526,0.15804680215122663,0.07775144621748424,0.18064221645472572,0.11663831129141997,0.1923734017482854,0.08296249537985459,12432,0.15049847868649194,12429,0.29416298627529724,12432,0.1329357147216797,0.42773281931877133,13812,0.5175933970460469,0.8709093541847669,0.5064436721691283,0.4540496186890626,0.01638546554318311,0.009379465288576737,6906,0.5555047303106573,0.21642792566641883,0.006671023089438677,0.8900213837623596,0.25383724297712135,0.36197194931110277,0.3859821345672349,0.2520459210708475,0.9085376036881779,0.9093316501719069,0.8996667155676085,1.0338099749924443,1.0357947070944526,1.1184071904501982
A0D,S1R,1,mid_error,9208,9208,1.5169366245402727,0.06349425894404943,1.591478323892694,0.06410635569467385,0.16298311967410614,0.4054385977803953,0.5945614019228518,0.33957622843410723,0.2549851734887446,0.6819120724439552,1.5169366245402727,0.06410635569467385,0.4054385977803953,0.5945614019228518,0.33957622843410723,0.2549851734887446,0.6819120724439552,0.14977012643864887,0.025381983950985135,0.1762324388667703,0.10033438432245458,0.16250672330049032,0.07642739944098374,16575,0.13800760282749935,16575,0.2726629442631163,16575,0.136036217212677,0.44959786906838417,18416,0.5686359687228497,0.8685382276281495,0.493375325803649,0.44826962061975095,0.016187732981406248,0.010458816965349296,9208,1.390343180876209,0.3510384439104302,0.8902472853660583,2.1568899154663086,0.273892267593397,0.37873455795099786,0.35860581143814213,0.26265963703661155,0.8900937807174168,0.890016552439521,0.8806645910989502,1.2307990959786417,1.1694170622904336,1.2810234424603908
A0D,S1R,1,high_error,6906,6906,1.5552872081830684,0.043120698425287644,1.6002273017939612,0.0386634195222557,0.08932206598279614,0.4523783302493268,0.5476216696977194,0.25983803378723225,0.28778363591048717,0.8260782129002203,1.5552872081830684,0.0386634195222557,0.4523783302493268,0.5476216696977194,0.25983803378723225,0.28778363591048717,0.8260782129002203,0.15953741843858693,0.10523766897838095,0.15503396749717233,0.0678782860942628,0.13786490861397613,0.09141698463579764,12432,0.1903050682824354,12429,0.24417850356043783,12432,0.25241909474134444,0.5517082810401915,13812,0.5886909933391254,0.8915435852881552,0.48801766579785694,0.4471474080509702,0.023135227214597875,0.016140056820680725,6906,3.306570179490742,0.8019800953786489,2.1569161415100098,6.952393054962158,0.38097306689834926,0.4088411915890496,0.18050882604401725,0.4106499935055835,0.816674521124401,0.7888935315084222,0.8094845632435859,1.737210270117719,1.9738852115703465,1.823089958307469
A0D,S1R,1,tail_error,1151,1151,1.5421732363004428,0.03802893699065064,1.5927408244178025,0.040130689312949386,0.07993501803278605,0.4823925131702644,0.5176074862627967,0.25330646597593376,0.2643010202868629,0.9319658737032771,1.5421732363004428,0.040130689312949386,0.4823925131702644,0.5176074862627967,0.25330646597593376,0.2643010202868629,0.9319658737032771,0.14333255941266276,0.07128402439199999,0.1304431997479737,0.06281920131249782,0.15065312638932285,0.09102055995396699,2073,0.21326201957848726,2070,0.21902066362367842,2073,0.2634188890457153,0.5521219193935394,2302,0.577758470894874,0.8770634231103388,0.4771937445699392,0.4428033593976252,0.023920794403573722,0.016074815915523667,1151,4.63909473427475,0.4611187636484691,4.111448764801025,6.952393054962158,0.39009556907037357,0.41896561796345677,0.08803564572802297,0.4929987471870314,0.8194953899192976,0.7744273133737745,0.8155777881085406,1.4875736644638817,2.1529716421064347,1.6221937562567994
A0D,S2R,1,low_error,6906,6906,1.490069174787028,0.08117335400321112,1.5880116729232845,0.07485923116097583,0.18599156881364495,0.36847371794121564,0.6315262818228745,0.37623158135962126,0.25529470046325325,0.5834653735670849,1.490069174787028,0.07485923116097583,0.36847371794121564,0.6315262818228745,0.37623158135962126,0.25529470046325325,0.5834653735670849,0.16323344757289546,0.1365935862857727,0.19441214142249816,0.11885620435489577,0.19217624152259247,0.10104187312093807,12432,0.13937668573354609,12429,0.29015612964048954,12432,0.12246987223625183,0.41658396758139105,13812,0.5418476686938893,0.8569359976831741,0.4917101071532001,0.45231199922772464,0.01686271045560893,0.009925991030560433,6906,0.7173102045878245,0.28079986526964823,0.005852585192769766,1.170192003250122,0.1862872864176079,0.3483100382027494,0.3853353167638073,0.26635465159133787,0.9068945735874225,0.9043636620648867,0.8967484317670309,1.08548389910754,1.1230352459318425,1.2579473103435703
A0D,S2R,1,mid_error,9208,9208,1.4905614923880692,0.08755951970829666,1.595220717026772,0.07258224466567394,0.17594272583666598,0.3851458921885863,0.6148541076402801,0.3595802498689526,0.25527385777132755,0.6264020804329009,1.4905614923880692,0.07258224466567394,0.3851458921885863,0.6148541076402801,0.3595802498689526,0.25527385777132755,0.6264020804329009,0.19150493308340408,0.3180126405982976,0.3378529179337482,0.11129637866045106,0.16492461874940367,0.08538228175827088,16578,0.10751306194835028,16575,0.3477089503174757,16575,0.15187197923660278,0.5103002637624741,18416,0.6064291920069504,0.8622936576889662,0.4943255864465682,0.458514335360556,0.029417235627778517,0.022290777461057114,9208,2.0457701592808903,0.7112458427269206,1.1702873706817627,3.69157075881958,0.25977410947002605,0.37129982580444154,0.32784166408398896,0.3008585191110503,0.8573529129956309,0.8268318402084913,0.8481670254655345,1.5355903172653516,2.2187347460787366,1.6044496397522612
A0D,S2R,1,high_error,6906,6906,1.4802600780945996,0.12170306205325628,1.5993453590249234,0.06588072958487805,0.18211026700806326,0.4281108435924846,0.5718891559361452,0.3149767951901924,0.2569123607459528,0.7485905951332389,1.4802600780945996,0.06588072958487805,0.4281108435924846,0.5718891559361452,0.3149767951901924,0.2569123607459528,0.7485905951332389,0.23113288737243567,0.35419014662060105,0.308961102118466,0.11782895972519211,0.20953982522620593,0.08896761289310845,12432,0.1864313372820726,12429,0.3911530351849937,12432,0.38340855538845064,0.7510907292366028,13812,0.5774688676513177,0.8793802490587894,0.47715754416449463,0.43594941596679215,0.05642117509122667,0.044680405015575214,6906,5.218171384001068,0.9766586011912455,3.6916866302490234,9.035304069519043,0.467347234289024,0.38686008276102285,0.156485071978641,0.45665485648192355,0.7291918265847168,0.641810787287685,0.7240414216816684,2.2802586958714235,4.4191585948699945,2.354161868950197
A0D,S2R,1,tail_error,1151,1151,1.4642037224169795,0.12582864022042517,1.596372558224673,0.06807406025937728,0.17174911699261713,0.44823681733814,0.5517631830108699,0.31125013800831486,0.24051304500255505,0.8123717405213491,1.4642037224169795,0.06807406025937728,0.44823681733814,0.5517631830108699,0.31125013800831486,0.24051304500255505,0.8123717405213491,0.22519321389183564,0.46475495175590237,0.2718654556393838,0.11724447027840557,0.20052486321992014,0.08585578979969509,2073,0.20703764776672423,2070,0.36096883667456553,2073,0.37464492917060843,0.7729039371013641,2302,0.573414422241529,0.8822762814943528,0.537141615986099,0.49695916594265854,0.06366237299557254,0.04928957702564504,1151,6.802547992570415,0.47137502441193435,6.241856575012207,9.035304069519043,0.4782797567332754,0.44564550114855445,0.16521335403385576,0.3891411564971517,0.7247381491520216,0.6190814199031279,0.7014275560370743,2.011226849489684,4.764709645307758,2.6321897630998095
