worst_case,metric,scenario,model_seed,value,file
lowest_raw_residual_corr,raw_residual_corr,S1R,0,0.007714567803333946,E:\migration_packages\results\phase2_me_a0_dir_only\eval_details\phase1r_mixed_ME_RGCF_A0D__modelseed0__test_S1R_errors.csv
lowest_high_spread_corr,high_spread_corr,S1R,2,-0.028748020779348935,E:\migration_packages\results\phase2_me_a0_dir_only\eval_details\phase1r_mixed_ME_RGCF_A0D__modelseed2__test_S1R_errors.csv
lowest_hit_rate,worst_track_hit_rate,S1R,0,0.28777150304083404,E:\migration_packages\results\phase2_me_a0_dir_only\eval_details\phase1r_mixed_ME_RGCF_A0D__modelseed0__test_S1R_errors.csv
highest_tail_error,error_pos_max,S2R,4,10.092254638671875,E:\migration_packages\results\phase2_me_a0_dir_only\eval_details\phase1r_mixed_ME_RGCF_A0D__modelseed4__test_S2R_errors.csv
highest_rmse_proxy,error_pos_mean,S2R,4,2.6086800609987764,E:\migration_packages\results\phase2_me_a0_dir_only\eval_details\phase1r_mixed_ME_RGCF_A0D__modelseed4__test_S2R_errors.csv
