method,scenario,n_runs,entropy_mean_mean,entropy_mean_std,entropy_mean_min,entropy_mean_max,row_std_mean_mean,row_std_mean_std,row_std_mean_min,row_std_mean_max,evidence_mass_mean_mean,evidence_mass_mean_std,evidence_mass_mean_min,evidence_mass_mean_max,track_mass_mean_mean,track_mass_mean_std,track_mass_mean_min,track_mass_mean_max,own_track_mass_mean_mean,own_track_mass_mean_std,own_track_mass_mean_min,own_track_mass_mean_max,other_track_mass_mean_mean,other_track_mass_mean_std,other_track_mass_mean_min,other_track_mass_mean_max,evidence_to_track_mass_ratio_mean,evidence_to_track_mass_ratio_std,evidence_to_track_mass_ratio_min,evidence_to_track_mass_ratio_max,raw_residual_corr_mean,raw_residual_corr_std,raw_residual_corr_min,raw_residual_corr_max,residual_log_corr_mean,residual_log_corr_std,residual_log_corr_min,residual_log_corr_max,residual_centered_corr_mean,residual_centered_corr_std,residual_centered_corr_min,residual_centered_corr_max,evidence_normalized_corr_mean,evidence_normalized_corr_std,evidence_normalized_corr_min,evidence_normalized_corr_max,within_evidence_gap_corr_mean,within_evidence_gap_corr_std,within_evidence_gap_corr_min,within_evidence_gap_corr_max,high_spread_corr_mean,high_spread_corr_std,high_spread_corr_min,high_spread_corr_max,mid_spread_corr_mean,mid_spread_corr_std,mid_spread_corr_min,mid_spread_corr_max,low_spread_corr_mean,low_spread_corr_std,low_spread_corr_min,low_spread_corr_max,worst_track_hit_rate_mean,worst_track_hit_rate_std,worst_track_hit_rate_min,worst_track_hit_rate_max,top2_hit_rate_mean,top2_hit_rate_std,top2_hit_rate_min,top2_hit_rate_max,spearman_rank_corr_mean,spearman_rank_corr_std,spearman_rank_corr_min,spearman_rank_corr_max,kendall_tau_mean,kendall_tau_std,kendall_tau_min,kendall_tau_max,high_spread_worst_track_hit_rate_mean,high_spread_worst_track_hit_rate_std,high_spread_worst_track_hit_rate_min,high_spread_worst_track_hit_rate_max,delta_w_mean_mean,delta_w_mean_std,delta_w_mean_min,delta_w_mean_max,delta_g_mean_mean,delta_g_mean_std,delta_g_mean_min,delta_g_mean_max,delta_cov_mean_mean,delta_cov_mean_std,delta_cov_mean_min,delta_cov_mean_max,worst_low_weight_rate_mean,worst_low_weight_rate_std,worst_low_weight_rate_min,worst_low_weight_rate_max,worst_low_gate_rate_mean,worst_low_gate_rate_std,worst_low_gate_rate_min,worst_low_gate_rate_max,worst_high_cov_rate_mean,worst_high_cov_rate_std,worst_high_cov_rate_min,worst_high_cov_rate_max,error_pos_mean_mean,error_pos_mean_std,error_pos_mean_min,error_pos_mean_max,error_pos_max_mean,error_pos_max_std,error_pos_max_min,error_pos_max_max
A0,S1R,5,1.5870019646781472,0.04533412619294535,1.5062022888660038,1.609437908832764,4.745573036226039e-05,8.057602551754863e-05,6.30292945495298e-10,0.00018604749201662571,0.38732344349104536,0.05704839797124338,0.2914504827141261,0.44515035710484435,0.6126765503469167,0.057048399719358794,0.5548496426194,0.7085495172483297,0.20418947225132872,0.018940355325983694,0.1849499988989177,0.23600283173508155,0.4084870780955881,0.038108074481156315,0.36989964372048234,0.47254668551324813,0.6427339137123335,0.14206039716777033,0.4113339655441183,0.8022900672753898,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.7477009159807668,0.00841749408662109,1.735215405950733,1.7571439909965583,7.020900535583496,0.3524236491934853,6.6808695793151855,7.618546962738037
A0,S2R,5,1.6044294212503694,0.0069513021923258995,1.5953127062519912,1.609437909011696,7.070005727958588e-05,0.00012726491048422567,5.156399564117559e-10,0.00029360429860348926,0.40652044568132084,0.03410910069058828,0.36973627398614256,0.46285227921810523,0.5934795491448303,0.03410909960062163,0.5371477208448999,0.6302637268081113,0.19780605557879832,0.011343085043122121,0.17904790826152622,0.20998693694841455,0.395673493566032,0.022766101372577573,0.3580998125833737,0.4202767898596968,0.6896721391975296,0.10221386353956924,0.5866373999637007,0.8616852706552816,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.643967691651876,0.012464832519294344,2.630899765382122,2.660700145728043,9.007046318054199,0.11081907066495068,8.883170127868652,9.119735717773438
A0D,S1R,5,1.500156674909594,0.039286784812828525,1.4576497931150165,1.5543934490677018,0.06469837605325228,0.020782040654237856,0.031229499858416797,0.08069037951069302,0.41209348200593743,0.022479550050471343,0.37940949068285706,0.43881999094081275,0.5879065179993967,0.022479550008841796,0.5611800092181162,0.6205905093047083,0.32296436195955214,0.034625345756591354,0.2641132534746714,0.3473513727212557,0.26494215603984456,0.04411277159839255,0.22348653112382805,0.333322474010539,0.7029195586470303,0.064399075191777,0.6113685030535457,0.781959413615275,0.06600180444924507,0.05813367004525661,0.007714567803333946,0.14924637678038663,0.1891403653435121,0.06365818355440785,0.13034243760528422,0.2815684431616865,0.055839112713385375,0.0770516150259774,-0.026561480309849873,0.16323198618033796,0.08775225408746094,0.0614689293099672,0.01877021017011413,0.1667704925462555,0.1384588863793232,0.08086451707363597,0.05815251799896623,0.24310762912121114,0.09169543839314127,0.11132830057790723,-0.028748020779348935,0.25280585820282636,0.05748933780958069,0.057915266395064266,0.0033835674252741346,0.14654878102045607,0.0602325847146894,0.03369422273780781,0.02365129578814777,0.09381578949957978,0.3888966116420504,0.10825730014676682,0.28777150304083404,0.5593397046046916,0.7615942658557777,0.0774535399321048,0.6819070373588184,0.8761511728931364,0.23066246741963514,0.18390438531022468,0.009361424847958297,0.4956885317115552,0.20327541268462204,0.16845053829178017,0.0035041992470315644,0.44966695626991016,0.3831161309006661,0.18705717778183392,0.20156385751520417,0.6538517231392992,-0.23538267216335687,0.005626462441667373,-0.24424681359184383,-0.2306454253120414,-0.03341711838582685,0.0097748403525993,-0.04486213415610835,-0.02319535424691713,0.39075194579033173,0.07395707468934908,0.30888602412889704,0.47999789929376147,0.8016652186504489,0.010220138060822394,0.7932232841007819,0.8183463654792934,0.7256878077034463,0.050210455635141475,0.6529829134086301,0.7893136403127715,0.5353460758760498,0.08170525978994793,0.444323776426296,0.6629742253113234,1.7144148300737132,0.007031131646850232,1.7025137990754386,1.7204570197355857,6.903850555419922,0.06296158831468311,6.799591541290283,6.952393054962158
A0D,S2R,5,1.4790597694499734,0.024528479286647774,1.4574396206853932,1.5176439109897513,0.06468867376749014,0.019324705327952937,0.03185802475922615,0.08136537176572282,0.42305730870422964,0.02555829821584571,0.3930337253355446,0.46223460460432864,0.576942691210994,0.02555829812611887,0.5377653953650858,0.606966274383818,0.3154866853495156,0.036439126751813454,0.2571867964090496,0.35119461291252513,0.2614560058614784,0.04505336849093735,0.20396739166443578,0.3241408575329171,0.7360635536778004,0.07876527244076668,0.6475379966284714,0.8595469485174296,0.1029180279463544,0.07452076873245048,0.03555624203969311,0.19053768331221455,0.39980807534419427,0.04173306530598667,0.34562048425164194,0.4506848834305772,0.1602049545099335,0.1115393096274338,0.07234707393178032,0.296867562749418,0.08200021209960062,0.06292288148365592,0.024295996013812975,0.17266902727266797,0.11695914974200065,0.08026521057183984,0.04840915042150702,0.23364639611359367,0.20192745252268124,0.12158154975635563,0.10320911517810427,0.3438184936223908,0.04368244817567109,0.07263803935858315,-0.040672223026890476,0.1315057883344513,0.04841603941789825,0.026455556116180744,0.019017918743924594,0.07999331188162755,0.4513423110338836,0.08783563575903953,0.35395308427454386,0.5783666377063423,0.771750651607298,0.07091474918535423,0.6748696785403997,0.8658123370981755,0.2689270199826238,0.17344314980782027,0.01960251954821894,0.4883905299739357,0.2441500144801622,0.15897180464485433,0.019475818129163047,0.4498841587025774,0.5201419055893426,0.16238095606049993,0.3600492325514046,0.7596293078482479,-0.27409162781344387,0.0056390698222083665,-0.27987208539370423,-0.26587707652666076,-0.0922315773408231,0.012816425281928627,-0.11457213539767189,-0.08328876714174933,2.6950643897410442,0.43109985610978585,2.022842845060913,3.0229372845036444,0.8204894294816103,0.005863482378691069,0.8130611062843904,0.8275412684622068,0.757413843035042,0.052220878531075925,0.684694468578048,0.8209527946713003,0.653069794381697,0.035427840787002236,0.6028815522733855,0.701419055893426,2.6016635964729202,0.005695495865088555,2.593600710078473,2.6086800609987764,9.212447929382325,0.49739411337299166,8.863960266113281,10.092254638671875
