method,scenario,model_seed,file,num_rows,entropy_mean,entropy_std,entropy_p95,row_std_mean,row_std_p95,evidence_mass_mean,track_mass_mean,own_track_mass_mean,other_track_mass_mean,evidence_to_track_mass_ratio,error_pos_n,error_pos_mean,error_pos_std,error_pos_min,error_pos_max,raw_residual_corr,residual_log_corr,residual_centered_corr,evidence_normalized_corr,within_evidence_gap_corr,low_spread_corr,low_spread_n_pairs,mid_spread_corr,mid_spread_n_pairs,high_spread_corr,high_spread_n_pairs,spread_low_threshold,spread_high_threshold,ranking_events,worst_track_hit_rate,top2_hit_rate,spearman_rank_corr,kendall_tau,worst_minus_best_attn,worst_minus_mean_attn,high_spread_ranking_events,high_spread_worst_track_hit_rate,high_spread_top2_hit_rate,high_spread_spearman_rank_corr,high_spread_kendall_tau,high_spread_worst_minus_best_attn,high_spread_worst_minus_mean_attn,downstream_events,delta_w_mean,delta_g_mean,delta_cov_mean,worst_low_weight_rate,worst_low_gate_rate,worst_high_cov_rate,delta_error_sensor_skipped,skipped_metrics
A0D,S1R,0,E:\migration_packages\results\phase2_me_a0_dir_only\eval_details\phase1r_mixed_ME_RGCF_A0D__modelseed0__test_S1R_errors.csv,23020,1.4576497931150165,0.11611517237801261,1.5739003823452,0.07905913149163664,0.1829618291497962,0.42358158880109675,0.576418411188354,0.3473513727212557,0.22906703846709833,0.7348509009763129,23020,1.7186353499443634,1.212876718338175,0.006250965408980846,6.951518535614014,0.007714567803333946,0.2275306354254347,-0.008637928752257888,0.01877021017011413,0.05873414056835273,0.0244505968437397,41436,0.0033835674252741346,41436,0.004979241978269387,41436,0.16352323293685914,0.4774418771266937,46040,0.28777150304083404,0.6819070373588184,0.009361424847958297,0.0035041992470315644,0.0015818186054788255,-0.004887233135455509,13812,0.24826238053866204,0.6617434115262091,-0.026498696785403997,-0.03455932039772179,0.0010927313190583886,-0.009345938005953134,13812,-0.2369294862542463,-0.03623826558602709,0.399875303131064,0.8043006081668115,0.7893136403127715,0.49449753837242977,not available in eval_details,
A0D,S2R,0,E:\migration_packages\results\phase2_me_a0_dir_only\eval_details\phase1r_mixed_ME_RGCF_A0D__modelseed0__test_S2R_errors.csv,23020,1.4607928558993215,0.1339206455781285,1.573599421121829,0.07441892147934848,0.1747442670057558,0.4292178730540418,0.5707821270387972,0.3297274275228668,0.24105469951593034,0.7519819782739396,23020,2.604285516114792,1.9360877972918211,0.00853178184479475,9.03509521484375,0.03555624203969311,0.4254348506192606,0.07789857103730606,0.024629644890468236,0.04840915042150702,0.019017918743924594,41436,-0.040672223026890476,41436,0.12079971173601692,41436,0.18769576363265514,0.5654901444911957,46040,0.35395308427454386,0.6748696785403997,0.01960251954821894,0.019475818129163047,0.00900236271938441,0.003442938662087383,13812,0.3600492325514046,0.6572545612510861,0.03529539530842746,0.03909643788010426,0.03898179447103403,0.0262905774663039,13812,-0.27745807676032197,-0.08551977914772861,2.91552100168547,0.8228352157544164,0.7539096437880104,0.6553721401679699,not available in eval_details,
A0D,S1R,1,E:\migration_packages\results\phase2_me_a0_dir_only\eval_details\phase1r_mixed_ME_RGCF_A0D__modelseed1__test_S1R_errors.csv,23020,1.5262707084771425,0.06192545923486679,1.595721158007321,0.057872622430948296,0.15495946720308224,0.4160920670640631,0.5839079328005944,0.3200686752496251,0.2638392575509693,0.7125987569108079,23020,1.7147597452909034,1.2090250370835793,0.006671023089438677,6.952393054962158,0.14924637678038663,0.13034243760528422,0.16323198618033796,0.0929440966025287,0.14533938136581526,0.07499214602496958,41436,0.14654878102045607,41436,0.25280585820282636,41436,0.16352323293685914,0.4774418771266937,46040,0.5593397046046916,0.8761511728931364,0.4956885317115552,0.44966695626991016,0.018331301019896797,0.011839383418916957,13812,0.6538517231392992,0.9516362583260932,0.6626122212568781,0.6078772082247321,0.02988431245669002,0.02018151092516998,13812,-0.23065826801823958,-0.023314705015506188,0.3233719599003589,0.7951781059947871,0.6529829134086301,0.444323776426296,not available in eval_details,
A0D,S2R,1,E:\migration_packages\results\phase2_me_a0_dir_only\eval_details\phase1r_mixed_ME_RGCF_A0D__modelseed1__test_S2R_errors.csv,23020,1.4873233728197157,0.09750913917730779,1.5962871616126997,0.07125488609002571,0.18117920348042077,0.3930337253355446,0.606966274383818,0.35119461291252513,0.2557716614712928,0.6475379966284714,23020,2.598952540289024,1.9377635518447456,0.005852585192769766,9.035304069519043,0.19053768331221455,0.34562048425164194,0.296867562749418,0.11287587454341697,0.16361321518809133,0.07999331188162755,41436,0.1315057883344513,41436,0.32566162368879403,41436,0.18769576363265514,0.5654901444911957,46040,0.5783666377063423,0.8658123370981755,0.4883905299739357,0.4498841587025774,0.033752059915162086,0.02529822979826354,13812,0.7596293078482479,0.9555459021141037,0.6958441934549667,0.6588473790906458,0.07830400699914114,0.06588064862267931,13812,-0.26587707652666076,-0.08328876714174933,2.022842845060913,0.8130611062843904,0.7364610483637417,0.6028815522733855,not available in eval_details,
A0D,S1R,2,E:\migration_packages\results\phase2_me_a0_dir_only\eval_details\phase1r_mixed_ME_RGCF_A0D__modelseed2__test_S1R_errors.csv,23020,1.4775388318975273,0.08953466955753428,1.5768902485071,0.07464024697456666,0.1670363572537472,0.37940949068285706,0.6205905093047083,0.34559503025792015,0.2749954790467881,0.6113685030535457,23020,1.7025137990754386,1.2150594397660897,0.008714145049452782,6.920636177062988,0.020958970608527177,0.1447031700007737,-0.026561480309849873,0.12468265667403379,0.18696076284227064,0.08425309541701016,41436,0.012272707485480207,41436,-0.028748020779348935,41436,0.16352323293685914,0.4774418771266937,46040,0.32508688097306687,0.7432015638575152,0.19071459600347523,0.16120764552562986,0.004379301887768639,-0.008567761479490748,13812,0.20156385751520417,0.6664494642339994,0.07576744859542427,0.046674389419828155,-0.006086107712703306,-0.024566838256834634,13812,-0.2306454253120414,-0.03947513292457551,0.44162854249757716,0.7932232841007819,0.7183608456414712,0.5224442513756155,not available in eval_details,
A0D,S2R,2,E:\migration_packages\results\phase2_me_a0_dir_only\eval_details\phase1r_mixed_ME_RGCF_A0D__modelseed2__test_S2R_errors.csv,23020,1.4720990868556842,0.11850706187616972,1.5777981147479896,0.06454616474312753,0.13694421048453173,0.41212799460249244,0.5878720053253021,0.3055265862024865,0.28234541912281563,0.7010505532993346,23020,2.593600710078473,1.9419957976119764,0.006907497067004442,9.035625457763672,0.055802692764442774,0.4050225708251232,0.08742122633034186,0.07553051777763693,0.08938396214105071,0.05881047523503887,41436,-0.009506633320322184,41436,0.11614831838810019,41436,0.18769576363265514,0.5654901444911957,46040,0.3943744569939183,0.7404430929626412,0.2022154648132059,0.17875760208514335,0.01570376273636282,0.0035426631006266435,13812,0.3771358239212279,0.7311033883579496,0.21781783955980308,0.1894487884930978,0.043125408455676334,0.02050669281667083,13812,-0.27632139803211053,-0.09118745472609065,3.0229372845036444,0.8159571387199537,0.7910512597741095,0.643932812047495,not available in eval_details,
A0D,S1R,3,E:\migration_packages\results\phase2_me_a0_dir_only\eval_details\phase1r_mixed_ME_RGCF_A0D__modelseed3__test_S1R_errors.csv,23020,1.5543934490677018,0.04475316740311837,1.5982296938191445,0.031229499858416797,0.07480833919041578,0.40256427254085747,0.5974357274852105,0.2641132534746714,0.333322474010539,0.67382021867921,23020,1.7157082363222762,1.2121598867581673,0.005206646863371134,6.799591541290283,0.05413036754128093,0.2815684431616865,0.05996249105176388,0.03559381444437267,0.05815251799896623,0.02365129578814777,41436,0.047447061150238716,41436,0.09839824524498904,41436,0.16352323293685914,0.4774418771266937,46040,0.4280625543006082,0.7983492615117289,0.3138249348392702,0.2755140457573125,0.010099099957518487,0.005400270316062041,13812,0.49102229944975384,0.8354329568491167,0.4311106284390385,0.3788010425716768,0.018254010699276187,0.010185908869393289,13812,-0.24424681359184383,-0.02319535424691713,0.30888602412889704,0.8183463654792934,0.7171300318563568,0.6629742253113234,not available in eval_details,
A0D,S2R,3,E:\migration_packages\results\phase2_me_a0_dir_only\eval_details\phase1r_mixed_ME_RGCF_A0D__modelseed3__test_S2R_errors.csv,23020,1.5176439109897513,0.08556856036174673,1.596853658228606,0.03185802475922615,0.07626238443892047,0.41867234592474056,0.5813276539419667,0.2571867964090496,0.3241408575329171,0.7202002916698268,23020,2.6027991548835376,1.9386678297070281,0.006632923614233732,8.863960266113281,0.05544499917018808,0.37227758759436835,0.07234707393178032,0.024295996013812975,0.049743024845760604,0.02274987109352406,41436,0.03529095287143508,41436,0.10320911517810427,41436,0.18769576363265514,0.5654901444911957,46040,0.4934839270199826,0.8014552562988706,0.3383036490008688,0.30133217492035913,0.01500375958976395,0.009028548064749271,13812,0.5544454097885896,0.8677237185056472,0.4648494063133507,0.41760787720822473,0.03327880296288417,0.02043339745506354,13812,-0.2709295023544218,-0.08658975029087501,2.5042949885285286,0.8275412684622068,0.684694468578048,0.6617434115262091,not available in eval_details,
A0D,S1R,4,E:\migration_packages\results\phase2_me_a0_dir_only\eval_details\phase1r_mixed_ME_RGCF_A0D__modelseed4__test_S1R_errors.csv,23020,1.484930591990581,0.05389448151648955,1.5540615858539226,0.08069037951069302,0.14450839269986399,0.43881999094081275,0.5611800092181162,0.3376934780942882,0.22348653112382805,0.781959413615275,23020,1.7204570197355857,1.2123837189821325,0.007010280154645443,6.895113468170166,0.0979587395126967,0.16155714052438142,0.09120049539693276,0.1667704925462555,0.24310762912121114,0.09381578949957978,41436,0.07779457196645433,41436,0.13104186731897052,41436,0.16352323293685914,0.4774418771266937,46040,0.34422241529105124,0.708362293657689,0.1437228496959166,0.12648421662322618,0.01697387782748397,0.0013680554605570567,13812,0.32088039386041123,0.6794092093831451,0.19410657399362874,0.17356887730475912,0.02528000019745329,-0.001703677038844732,13812,-0.23443336764041306,-0.04486213415610835,0.47999789929376147,0.7972777295105705,0.7506516072980017,0.5524905878945844,not available in eval_details,
A0D,S2R,4,E:\migration_packages\results\phase2_me_a0_dir_only\eval_details\phase1r_mixed_ME_RGCF_A0D__modelseed4__test_S2R_errors.csv,23020,1.4574396206853932,0.0721972660142967,1.5378253151235992,0.08136537176572282,0.14539733227186544,0.46223460460432864,0.5377653953650858,0.33379800370065,0.20396739166443578,0.8595469485174296,23020,2.6086800609987764,1.9408200933942341,0.005900451447814703,10.092254638671875,0.17724852244523356,0.4506848834305772,0.26649033850082127,0.17266902727266797,0.23364639611359367,0.06150862013537619,41436,0.1017943560196817,41436,0.3438184936223908,41436,0.18769576363265514,0.5654901444911957,46040,0.43653344917463077,0.7761728931364031,0.29612293657688965,0.2713003185635679,0.03823477208742194,0.020787362818752653,13812,0.5494497538372429,0.8545467709238344,0.5173761946133797,0.4834443479100299,0.09299518760102765,0.062661992894799,13812,-0.27987208539370423,-0.11457213539767189,3.009725828926666,0.8230524181870837,0.8209527946713003,0.701419055893426,not available in eval_details,
