cov_scale,fault_active,gate,gate_supervision_mask,gate_target,k,sensor_id,t,valid,weight
1.7994420528411865,0.0,0.7851580381393433,1.0,0.800000011920929,0,1,0.0,1.0,0.22735822200775146
1.8004361391067505,0.0,0.778872013092041,1.0,0.800000011920929,0,2,0.0,1.0,0.16347911953926086
1.798364520072937,0.0,0.7686013579368591,1.0,0.800000011920929,0,3,0.0,1.0,0.31422117352485657
1.7986594438552856,0.0,0.7891323566436768,1.0,0.800000011920929,0,4,0.0,1.0,0.2949414849281311
1.7949209213256836,0.0,0.769798755645752,1.0,0.800000011920929,1,1,0.10000000149011612,1.0,0.22962218523025513
1.7954542636871338,0.0,0.7725203633308411,1.0,0.800000011920929,1,2,0.10000000149011612,1.0,0.19479385018348694
1.7940962314605713,0.0,0.7605258226394653,1.0,0.800000011920929,1,3,0.10000000149011612,1.0,0.2956911325454712
1.7943646907806396,0.0,0.778684139251709,1.0,0.800000011920929,1,4,0.10000000149011612,1.0,0.27989280223846436
1.792466163635254,0.0,0.7554503083229065,1.0,0.800000011920929,2,1,0.20000000298023224,1.0,0.17748071253299713
1.7914378643035889,0.0,0.7628229260444641,1.0,0.800000011920929,2,2,0.20000000298023224,1.0,0.2512023448944092
1.791107416152954,0.0,0.7590673565864563,1.0,0.800000011920929,2,3,0.20000000298023224,1.0,0.27742207050323486
1.7909271717071533,0.0,0.7574668526649475,1.0,0.800000011920929,2,4,0.20000000298023224,1.0,0.29389485716819763
1.79141104221344,0.0,0.7569641470909119,1.0,0.800000011920929,3,1,0.30000001192092896,1.0,0.2818302512168884
1.790985107421875,0.0,0.758621335029602,1.0,0.800000011920929,3,2,0.30000001192092896,1.0,0.32487255334854126
1.794945478439331,0.0,0.7497357130050659,1.0,0.800000011920929,3,3,0.30000001192092896,1.0,0.0906779021024704
1.7912018299102783,0.0,0.7568967342376709,1.0,0.800000011920929,3,4,0.30000001192092896,1.0,0.3026193380355835
1.7914934158325195,0.0,0.7504445314407349,1.0,0.800000011920929,4,1,0.4000000059604645,1.0,0.23674103617668152
