t,w_s1,w_s2,w_s3,w_s4,fault_active_s1,fault_active_s2,fault_active_s3,fault_active_s4
0.0,0.22735822200775146,0.16347911953926086,0.31422117352485657,0.2949414849281311,0.0,0.0,0.0,0.0
0.10000000149011612,0.22962218523025513,0.19479385018348694,0.2956911325454712,0.27989280223846436,0.0,0.0,0.0,0.0
0.20000000298023224,0.17748071253299713,0.2512023448944092,0.27742207050323486,0.29389485716819763,0.0,0.0,0.0,0.0
0.30000001192092896,0.2818302512168884,0.32487255334854126,0.0906779021024704,0.3026193380355835,0.0,0.0,0.0,0.0
0.4000000059604645,0.23674103617668152,0.3248840868473053,0.1528106927871704,0.2855641841888428,0.0,0.0,0.0,0.0
0.5,0.22696895897388458,0.35711994767189026,0.2694500684738159,0.1464611291885376,0.0,0.0,0.0,0.0
0.6000000238418579,0.20593854784965515,0.32879146933555603,0.2607352137565613,0.20453478395938873,0.0,0.0,0.0,0.0
0.699999988079071,0.1853361427783966,0.2855013310909271,0.17046956717967987,0.3586929142475128,0.0,0.0,0.0,0.0
0.800000011920929,0.17682315409183502,0.23914772272109985,0.1953539103269577,0.38867515325546265,0.0,0.0,0.0,0.0
0.8999999761581421,0.2236965447664261,0.2144758552312851,0.1858312338590622,0.37599635124206543,0.0,0.0,0.0,0.0
1.0,0.20399752259254456,0.21818304061889648,0.19836938381195068,0.3794500231742859,0.0,0.0,0.0,0.0
1.100000023841858,0.20336513221263885,0.1890329122543335,0.16439509391784668,0.44320690631866455,0.0,0.0,0.0,0.0
1.2000000476837158,0.1788216382265091,0.18848608434200287,0.1638995260000229,0.46879273653030396,0.0,0.0,0.0,0.0
1.2999999523162842,0.17090225219726562,0.1855643093585968,0.18096241354942322,0.46257108449935913,0.0,0.0,0.0,0.0
1.399999976158142,0.2503865659236908,0.16924495995044708,0.10989060252904892,0.4704779088497162,0.0,0.0,0.0,0.0
1.5,0.30677714943885803,0.17699852585792542,0.1132010743021965,0.4030233323574066,0.0,0.0,0.0,0.0
1.600000023841858,0.3461431562900543,0.1776999980211258,0.13691318035125732,0.339243620634079,0.0,0.0,0.0,0.0
1.7000000476837158,0.35217922925949097,0.19241963326931,0.14466093480587006,0.3107401728630066,0.0,0.0,0.0,0.0
1.7999999523162842,0.35941970348358154,0.19242973625659943,0.12254135310649872,0.32560914754867554,0.0,0.0,0.0,0.0
1.899999976158142,0.3473469614982605,0.18585903942584991,0.11631648987531662,0.3504774570465088,0.0,0.0,0.0,0.0
