t,k,g_s1,w_s1,cov_scale_s1,fault_active_s1,valid_s1,gate_target_s1,gate_supervision_mask_s1,g_s2,w_s2,cov_scale_s2,fault_active_s2,valid_s2,gate_target_s2,gate_supervision_mask_s2,g_s3,w_s3,cov_scale_s3,fault_active_s3,valid_s3,gate_target_s3,gate_supervision_mask_s3,g_s4,w_s4,cov_scale_s4,fault_active_s4,valid_s4,gate_target_s4,gate_supervision_mask_s4
0.0,0,0.7851580381393433,0.22735822200775146,1.7994420528411865,0.0,1.0,0.800000011920929,1.0,0.778872013092041,0.16347911953926086,1.8004361391067505,0.0,1.0,0.800000011920929,1.0,0.7686013579368591,0.31422117352485657,1.798364520072937,0.0,1.0,0.800000011920929,1.0,0.7891323566436768,0.2949414849281311,1.7986594438552856,0.0,1.0,0.800000011920929,1.0
0.10000000149011612,1,0.769798755645752,0.22962218523025513,1.7949209213256836,0.0,1.0,0.800000011920929,1.0,0.7725203633308411,0.19479385018348694,1.7954542636871338,0.0,1.0,0.800000011920929,1.0,0.7605258226394653,0.2956911325454712,1.7940962314605713,0.0,1.0,0.800000011920929,1.0,0.778684139251709,0.27989280223846436,1.7943646907806396,0.0,1.0,0.800000011920929,1.0
0.20000000298023224,2,0.7554503083229065,0.17748071253299713,1.792466163635254,0.0,1.0,0.800000011920929,1.0,0.7628229260444641,0.2512023448944092,1.7914378643035889,0.0,1.0,0.800000011920929,1.0,0.7590673565864563,0.27742207050323486,1.791107416152954,0.0,1.0,0.800000011920929,1.0,0.7574668526649475,0.29389485716819763,1.7909271717071533,0.0,1.0,0.800000011920929,1.0
0.30000001192092896,3,0.7569641470909119,0.2818302512168884,1.79141104221344,0.0,1.0,0.800000011920929,1.0,0.758621335029602,0.32487255334854126,1.790985107421875,0.0,1.0,0.800000011920929,1.0,0.7497357130050659,0.0906779021024704,1.794945478439331,0.0,1.0,0.800000011920929,1.0,0.7568967342376709,0.3026193380355835,1.7912018299102783,0.0,1.0,0.800000011920929,1.0
0.4000000059604645,4,0.7504445314407349,0.23674103617668152,1.7914934158325195,0.0,1.0,0.800000011920929,1.0,0.7569288015365601,0.3248840868473053,1.7905354499816895,0.0,1.0,0.800000011920929,1.0,0.76307612657547,0.1528106927871704,1.7929290533065796,0.0,1.0,0.800000011920929,1.0,0.7484248280525208,0.2855641841888428,1.7909016609191895,0.0,1.0,0.800000011920929,1.0
0.5,5,0.760567307472229,0.22696895897388458,1.7918121814727783,0.0,1.0,0.800000011920929,1.0,0.7611797451972961,0.35711994767189026,1.7903921604156494,0.0,1.0,0.800000011920929,1.0,0.7544660568237305,0.2694500684738159,1.7912341356277466,0.0,1.0,0.800000011920929,1.0,0.7394053936004639,0.1464611291885376,1.7930400371551514,0.0,1.0,0.800000011920929,1.0
0.6000000238418579,6,0.7666372060775757,0.20593854784965515,1.7919347286224365,0.0,1.0,0.800000011920929,1.0,0.756983757019043,0.32879146933555603,1.7904068231582642,0.0,1.0,0.800000011920929,1.0,0.7517877221107483,0.2607352137565613,1.7910993099212646,0.0,1.0,0.800000011920929,1.0,0.7465721368789673,0.20453478395938873,1.7918250560760498,0.0,1.0,0.800000011920929,1.0
0.699999988079071,7,0.7673611640930176,0.1853361427783966,1.7902910709381104,0.0,1.0,0.800000011920929,1.0,0.7436084747314453,0.2855013310909271,1.7888072729110718,0.0,1.0,0.800000011920929,1.0,0.7457212805747986,0.17046956717967987,1.7904038429260254,0.0,1.0,0.800000011920929,1.0,0.75578373670578,0.3586929142475128,1.788160800933838,0.0,1.0,0.800000011920929,1.0
0.800000011920929,8,0.7508991360664368,0.17682315409183502,1.7885340452194214,0.0,1.0,0.800000011920929,1.0,0.7430006265640259,0.23914772272109985,1.7875430583953857,0.0,1.0,0.800000011920929,1.0,0.740307629108429,0.1953539103269577,1.7881500720977783,0.0,1.0,0.800000011920929,1.0,0.7583832740783691,0.38867515325546265,1.7861242294311523,0.0,1.0,0.800000011920929,1.0
0.8999999761581421,9,0.7572815418243408,0.2236965447664261,1.7884159088134766,0.0,1.0,0.800000011920929,1.0,0.7419500946998596,0.2144758552312851,1.788453459739685,0.0,1.0,0.800000011920929,1.0,0.7360215187072754,0.1858312338590622,1.788862705230713,0.0,1.0,0.800000011920929,1.0,0.7566238641738892,0.37599635124206543,1.7867989540100098,0.0,1.0,0.800000011920929,1.0
