epoch,lr,train_loss,train_loss_gate,train_loss_gate_prior,train_loss_pos,train_loss_vel,train_mean_gate,val_loss,val_loss_pos,val_loss_vel
1,0.001,2.2468059817321295,0.0,0.0,1.9815918275987707,1.3260707665641143,0.0,2.3793882009091725,2.125627554128013,1.2688031902718206
2,0.001,2.0616130434669393,0.0,0.0,1.805002334373976,1.2830535408459933,0.0,2.2107961792036654,1.9588512017466841,1.2597248291889893
3,0.001,2.0153013897445047,0.0,0.0,1.7646953042202647,1.2530304119979345,0.0,2.217320939126757,1.9790030306721607,1.191589462489113
4,0.001,1.9351937509661676,0.0,0.0,1.690518387641769,1.2233768065042572,0.0,2.167267652038333,1.9214840750908673,1.2289178160976908
5,0.001,1.8881059272270087,0.0,0.0,1.646156459234504,1.2097473289977831,0.0,2.1912205577789994,1.9560768486359634,1.1757184731771706
6,0.001,1.8857450277316317,0.0,0.0,1.6463137571394129,1.1971563302044599,0.0,2.237001516459685,1.9996522456084957,1.1867463416253201
7,0.001,1.837821013061265,0.0,0.0,1.5990197050018904,1.1940065431422802,0.0,2.144657740654497,1.9116055101975116,1.1652611201649203
8,0.001,1.8084024491258506,0.0,0.0,1.5702283220823163,1.1908706121831147,0.0,2.202880883137451,1.9665965592335106,1.1814215775086023
9,0.001,1.7760851117858547,0.0,0.0,1.5383607179166343,1.1886219540603156,0.0,2.0734018665070737,1.8368280054429091,1.1828692364752242
10,0.001,1.7767087282421123,0.0,0.0,1.5385639188291627,1.1907240352000656,0.0,2.3077927976474477,2.0735830504382085,1.1710486370756863
11,0.001,1.7737853751922361,0.0,0.0,1.5374044162910117,1.1819047911644247,0.0,2.1420630294714837,1.9109239184092126,1.1556955220846212
12,0.001,1.7325266644255242,0.0,0.0,1.4959902004238768,1.1826823075711645,0.0,2.010580494739332,1.7784416376899224,1.160694303510588
13,0.001,1.7214136111812395,0.0,0.0,1.483614280513019,1.1889966362355784,0.0,1.8488980685939995,1.6171103323329796,1.1589386539395703
14,0.001,1.691339421953852,0.0,0.0,1.4568294916356765,1.1725496425252804,0.0,1.7166025507757805,1.4833399115355188,1.1663131738681778
15,0.001,1.6772046371727827,0.0,0.0,1.4428622013656358,1.1717121665755015,0.0,2.094000433088838,1.8672111737738044,1.1339462636213915
16,0.001,1.6514273403883972,0.0,0.0,1.417163486861865,1.1713192512881183,0.0,1.5515697894545022,1.317744238668437,1.1691277445404853
17,0.001,1.6115603000430176,0.0,0.0,1.377450538727101,1.1705487911614516,0.0,1.6019494174422075,1.3718565762787438,1.150464157880494
18,0.001,1.5436950204837596,0.0,0.0,1.311460246617616,1.1611738544949022,0.0,1.5112035646922979,1.2805903411328445,1.1530660953946554
19,0.001,1.5256539169100303,0.0,0.0,1.293498972370133,1.160774704445874,0.0,1.5626974885310856,1.3304869646434483,1.1610525991100753
20,0.001,1.5125631005771287,0.0,0.0,1.280217952388146,1.161725737980396,0.0,1.5319285537281402,1.3013596862480106,1.1528442968039787
21,0.001,1.5066043277928938,0.0,0.0,1.2741299409585762,1.1623719173969245,0.0,1.5719761895696687,1.3425644246366597,1.1470588128086332
22,0.001,1.5275007595990784,0.0,0.0,1.294207612448456,1.1664657154845557,0.0,1.7385745777377082,1.504673776876718,1.1695039859471175
23,0.001,1.4749682397138335,0.0,0.0,1.2423242817711175,1.1632197829441597,0.0,1.4665405504113926,1.236727916489632,1.1490631533502838
24,0.001,1.4789415351688746,0.0,0.0,1.2457023471519413,1.1661959206432626,0.0,2.3357865145760313,2.1063104442811627,1.1473803907508755
25,0.001,1.4633050661499951,0.0,0.0,1.230282527520992,1.1651126729161614,0.0,1.5716462968688125,1.3367673394284976,1.1743947734939963
26,0.001,1.4468540652672384,0.0,0.0,1.2132740950604264,1.167899836965842,0.0,1.5797501733559156,1.3494270645113016,1.1516155322425867
27,0.001,1.4543890320788215,0.0,0.0,1.220034095078351,1.1717746628611212,0.0,1.4847065625341607,1.2522234548537756,1.1624155500846343
28,0.0005,1.4380481108406866,0.0,0.0,1.2035474451588088,1.172503315876366,0.0,3.1490206567969152,2.9155629976702966,1.1672884074377081
29,0.0005,1.4092251186135276,0.0,0.0,1.1767576545898761,1.162337304885408,0.0,1.4744624461659186,1.2439534181758427,1.1525451294389195
30,0.0005,1.3999020184605049,0.0,0.0,1.1669719767378597,1.164650194697204,0.0,3.054342491859004,2.823998810548171,1.151718591427823
31,0.0005,1.3941533007556917,0.0,0.0,1.1617359343516043,1.1620868188356182,0.0,1.621433626225747,1.3922929970052815,1.1457030936740618
32,0.0005,1.3961323581005247,0.0,0.0,1.1639377618676385,1.1609729563895443,0.0,1.488300949290432,1.2571520267180063,1.1557445947971074
33,0.00025,1.3882920655150761,0.0,0.0,1.156234605279923,1.1602872836599738,0.0,2.035377252111824,1.8072178198435622,1.1407972035360376
