cov_scale,fault_active,gate,gate_supervision_mask,gate_target,k,sensor_id,t,valid,weight
,0.0,,,,0,1,0.0,1.0,0.24122804403305054
,0.0,,,,0,2,0.0,1.0,0.18748772144317627
,0.0,,,,0,3,0.0,1.0,0.25541743636131287
,0.0,,,,0,4,0.0,1.0,0.3158668279647827
,0.0,,,,1,1,0.10000000149011612,1.0,0.2367536425590515
,0.0,,,,1,2,0.10000000149011612,1.0,0.27664685249328613
,0.0,,,,1,3,0.10000000149011612,1.0,0.24353422224521637
,0.0,,,,1,4,0.10000000149011612,1.0,0.24306528270244598
,0.0,,,,2,1,0.20000000298023224,1.0,0.18562155961990356
,0.0,,,,2,2,0.20000000298023224,1.0,0.22628898918628693
,0.0,,,,2,3,0.20000000298023224,1.0,0.25519827008247375
,0.0,,,,2,4,0.20000000298023224,1.0,0.3328911364078522
,0.0,,,,3,1,0.30000001192092896,1.0,0.2776734530925751
,0.0,,,,3,2,0.30000001192092896,1.0,0.24744245409965515
,0.0,,,,3,3,0.30000001192092896,1.0,0.09363970905542374
,0.0,,,,3,4,0.30000001192092896,1.0,0.38124436140060425
,0.0,,,,4,1,0.4000000059604645,1.0,0.3870430290699005
,0.0,,,,4,2,0.4000000059604645,1.0,0.25519871711730957
,0.0,,,,4,3,0.4000000059604645,1.0,0.14294476807117462
,0.0,,,,4,4,0.4000000059604645,1.0,0.21481341123580933
,0.0,,,,5,1,0.5,1.0,0.26448166370391846
,0.0,,,,5,2,0.5,1.0,0.4237038791179657
,0.0,,,,5,3,0.5,1.0,0.20800365507602692
,0.0,,,,5,4,0.5,1.0,0.10381082445383072
,0.0,,,,6,1,0.6000000238418579,1.0,0.17574359476566315
,0.0,,,,6,2,0.6000000238418579,1.0,0.41871047019958496
,0.0,,,,6,3,0.6000000238418579,1.0,0.1819651573896408
,0.0,,,,6,4,0.6000000238418579,1.0,0.2235807478427887
,0.0,,,,7,1,0.699999988079071,1.0,0.17442728579044342
,0.0,,,,7,2,0.699999988079071,1.0,0.2667860686779022
,0.0,,,,7,3,0.699999988079071,1.0,0.1292688101530075
,0.0,,,,7,4,0.699999988079071,1.0,0.4295178949832916
,0.0,,,,8,1,0.800000011920929,1.0,0.2093408852815628
,0.0,,,,8,2,0.800000011920929,1.0,0.2674621641635895
,0.0,,,,8,3,0.800000011920929,1.0,0.16970962285995483
,0.0,,,,8,4,0.800000011920929,1.0,0.35348737239837646
,0.0,,,,9,1,0.8999999761581421,1.0,0.16674482822418213
,0.0,,,,9,2,0.8999999761581421,1.0,0.2109595686197281
,0.0,,,,9,3,0.8999999761581421,1.0,0.2621481120586395
,0.0,,,,9,4,0.8999999761581421,1.0,0.36014753580093384
,0.0,,,,10,1,1.0,1.0,0.2467859834432602
,0.0,,,,10,2,1.0,1.0,0.19094985723495483
,0.0,,,,10,3,1.0,1.0,0.23512309789657593
,0.0,,,,10,4,1.0,1.0,0.32714104652404785
,0.0,,,,11,1,1.100000023841858,1.0,0.18600045144557953
,0.0,,,,11,2,1.100000023841858,1.0,0.20092043280601501
,0.0,,,,11,3,1.100000023841858,1.0,0.16430629789829254
,0.0,,,,11,4,1.100000023841858,1.0,0.4487728774547577
,0.0,,,,12,1,1.2000000476837158,1.0,0.17281854152679443
,0.0,,,,12,2,1.2000000476837158,1.0,0.19592396914958954
,0.0,,,,12,3,1.2000000476837158,1.0,0.1900235414505005
,0.0,,,,12,4,1.2000000476837158,1.0,0.44123396277427673
,0.0,,,,13,1,1.2999999523162842,1.0,0.0463520847260952
,0.0,,,,13,2,1.2999999523162842,1.0,0.18530315160751343
,0.0,,,,13,3,1.2999999523162842,1.0,0.2129395604133606
,0.0,,,,13,4,1.2999999523162842,1.0,0.5554052591323853
,0.0,,,,14,1,1.399999976158142,1.0,0.14164046943187714
,0.0,,,,14,2,1.399999976158142,1.0,0.11016714572906494
,0.0,,,,14,3,1.399999976158142,1.0,0.0914909616112709
,0.0,,,,14,4,1.399999976158142,1.0,0.656701385974884
,0.0,,,,15,1,1.5,1.0,0.2483729124069214
,0.0,,,,15,2,1.5,1.0,0.03692794218659401
,0.0,,,,15,3,1.5,1.0,0.2523511052131653
,0.0,,,,15,4,1.5,1.0,0.4623480439186096
,0.0,,,,16,1,1.600000023841858,1.0,0.2594195306301117
,0.0,,,,16,2,1.600000023841858,1.0,0.014925145544111729
,0.0,,,,16,3,1.600000023841858,1.0,0.5716596245765686
,0.0,,,,16,4,1.600000023841858,1.0,0.15399572253227234
,0.0,,,,17,1,1.7000000476837158,1.0,0.3974023163318634
,0.0,,,,17,2,1.7000000476837158,1.0,0.02341151237487793
,0.0,,,,17,3,1.7000000476837158,1.0,0.470220685005188
,0.0,,,,17,4,1.7000000476837158,1.0,0.1089654192328453
,0.0,,,,18,1,1.7999999523162842,1.0,0.4042489230632782
,0.0,,,,18,2,1.7999999523162842,1.0,0.04202936217188835
,0.0,,,,18,3,1.7999999523162842,1.0,0.3845939040184021
,0.0,,,,18,4,1.7999999523162842,1.0,0.16912783682346344
,0.0,,,,19,1,1.899999976158142,1.0,0.22217531502246857
,0.0,,,,19,2,1.899999976158142,1.0,0.18330153822898865
