epoch,lr,train_loss,train_loss_gate,train_loss_gate_prior,train_loss_pos,train_loss_vel,train_mean_gate,val_loss,val_loss_pos,val_loss_vel
1,0.001,2.3230667635628888,0.0,0.0,2.0508330240535497,1.3611686965938148,0.0,2.2674474225453194,2.012274794445546,1.2758631307913997
2,0.001,2.168477717274399,0.0,0.0,1.9088376684715573,1.2982002362720575,0.0,2.4080756920164172,2.1525413643807596,1.2776715888270331
3,0.001,2.1052635710470353,0.0,0.0,1.8504252235260137,1.274191718037976,0.0,2.318782639086594,2.069853300516254,1.2446466752333407
4,0.001,2.0308247626439884,0.0,0.0,1.7813837062376194,1.2472052640396127,0.0,2.2701382533447827,2.0183926477668486,1.2587280066483821
5,0.001,1.939147071642509,0.0,0.0,1.6930631683232087,1.2304195000203557,0.0,2.864980625024346,2.6231914527311013,1.2089458608309693
6,0.001,1.8479669668063698,0.0,0.0,1.6058533473111443,1.2105680815286184,0.0,2.1275996166700923,1.8928921744239817,1.1735372421991617
7,0.001,1.8193679603509958,0.0,0.0,1.5772984365076281,1.2103475973005928,0.0,1.8019732563819217,1.5613565479289682,1.2030835328352243
8,0.001,1.7892938484921908,0.0,0.0,1.5488515713563602,1.202211366565301,0.0,2.011728875146718,1.7742163272622622,1.187562692155449
9,0.001,1.7450794862039944,0.0,0.0,1.5063844554728016,1.1934751392039464,0.0,1.7591914677203049,1.5228715013604082,1.1815998293726173
10,0.001,1.6904109192066579,0.0,0.0,1.453459716147593,1.184756002636575,0.0,1.6314433845651835,1.4010826230545426,1.1518037863168789
11,0.001,1.6459061534081172,0.0,0.0,1.411546428012345,1.1717986112364855,0.0,1.7069046533276497,1.4734048873955363,1.1674988297201216
12,0.001,1.592016177120521,0.0,0.0,1.3582761366831206,1.168700185088095,0.0,1.604051742565622,1.3736599093968425,1.1519591783504501
13,0.001,1.5490352274343897,0.0,0.0,1.3156749216675792,1.166801514693045,0.0,1.571228693010011,1.338837098003327,1.161957953524133
14,0.001,1.5296759062729177,0.0,0.0,1.296293088055107,1.1669140763326449,0.0,1.744457650621368,1.505975264831943,1.1924119051052668
15,0.001,1.5611903782391132,0.0,0.0,1.327609465269787,1.1679045539017423,0.0,1.6045332485988277,1.3732692731707221,1.1563198651650068
16,0.001,1.50141635122413,0.0,0.0,1.2674551221022763,1.1698061269817834,0.0,1.5010275282133232,1.2688533055792244,1.160871093596745
17,0.001,1.5743697182919758,0.0,0.0,1.340478572473571,1.169455708452903,0.0,1.5381472116703792,1.3030146798424478,1.1756626601322406
18,0.001,1.5849310166168107,0.0,0.0,1.3505518296345254,1.1718959228019068,0.0,1.5690177794400104,1.333927819036028,1.1754497544156026
19,0.001,1.5071897221445343,0.0,0.0,1.272825772723257,1.171819743460296,0.0,1.857045040638818,1.6227398639515378,1.171525841048119
20,0.001,1.4747982922772913,0.0,0.0,1.240365957413122,1.1721616503466443,0.0,1.725121327204867,1.4924252566151774,1.1634803506506175
21,0.0005,1.4596164867145434,0.0,0.0,1.2248786229409676,1.1736893016630963,0.0,1.7299375298616788,1.4987108114855574,1.1561335560185626
22,0.0005,1.4822463933805476,0.0,0.0,1.2492547921660606,1.1649579898139155,0.0,1.8693916419265073,1.6378303329315314,1.1578065514465257
23,0.0005,1.4183900763119652,0.0,0.0,1.1850227422327788,1.1668366577107145,0.0,1.4861927702266111,1.2543950098341052,1.1589887631922142
