g_s1,g_s2,g_s3,g_s4,k,t,w_s1,w_s2,w_s3,w_s4
0.995928943157196,0.9949014186859131,0.9922574758529663,0.9962924122810364,0,0.0,0.30643919110298157,0.2266092598438263,0.20553821325302124,0.2614133656024933
0.9944368600845337,0.9931169748306274,0.9898763298988342,0.9950829744338989,1,0.10000000149011612,0.308361679315567,0.23095840215682983,0.21269255876541138,0.24798738956451416
0.99391770362854,0.9918564558029175,0.9875072836875916,0.99356609582901,2,0.20000000298023224,0.2609977126121521,0.2516101896762848,0.21976430714130402,0.2676277756690979
0.9926143884658813,0.9910220503807068,0.9829369187355042,0.9917348623275757,3,0.30000001192092896,0.2746807634830475,0.1960734874010086,0.26521608233451843,0.26402971148490906
0.9913081526756287,0.9897643327713013,0.9800326228141785,0.9905065894126892,4,0.4000000059604645,0.2493700534105301,0.20373807847499847,0.2917826175689697,0.25510919094085693
0.9898840188980103,0.9885128736495972,0.9754997491836548,0.9903253316879272,5,0.5,0.29571962356567383,0.2011609673500061,0.2723120152950287,0.2308073341846466
0.9882275462150574,0.9867728352546692,0.9678798913955688,0.9879344701766968,6,0.6000000238418579,0.29888540506362915,0.1982109397649765,0.258011132478714,0.24489255249500275
0.9866754412651062,0.9840072989463806,0.9603958129882812,0.9858700037002563,7,0.699999988079071,0.28918755054473877,0.20049744844436646,0.2629968225955963,0.24731819331645966
0.9852129220962524,0.9826833009719849,0.9522852301597595,0.9831046462059021,8,0.800000011920929,0.24612446129322052,0.21670936048030853,0.2500690221786499,0.28709709644317627
0.9812636375427246,0.9793879985809326,0.9414628148078918,0.9802056550979614,9,0.8999999761581421,0.28985926508903503,0.19527994096279144,0.24874944984912872,0.2661113440990448
0.9782882928848267,0.9753977656364441,0.9330881237983704,0.9780199527740479,10,1.0,0.2695310115814209,0.20975147187709808,0.2560998499393463,0.2646177113056183
0.9740196466445923,0.9719067811965942,0.9192045331001282,0.9754989147186279,11,1.100000023841858,0.3004436194896698,0.20549097657203674,0.2359628528356552,0.25810253620147705
0.9708479642868042,0.9676996469497681,0.9106857776641846,0.9718547463417053,12,1.2000000476837158,0.2984059453010559,0.19821973145008087,0.24784865975379944,0.2555255889892578
0.9665609002113342,0.9636583924293518,0.9012540578842163,0.9686956405639648,13,1.2999999523162842,0.29311129450798035,0.2134578675031662,0.2363644391298294,0.25706639885902405
0.9643536806106567,0.958955705165863,0.8872373104095459,0.9631836414337158,14,1.399999976158142,0.2653692364692688,0.2266637235879898,0.22998495399951935,0.27798208594322205
0.9583043456077576,0.953181803226471,0.8797657489776611,0.9591236710548401,15,1.5,0.29605087637901306,0.20596493780612946,0.24098163843154907,0.257002592086792
0.9533573985099792,0.9458770155906677,0.8729479312896729,0.9532137513160706,16,1.600000023841858,0.28374725580215454,0.20747992396354675,0.26101061701774597,0.24776221811771393
0.9521204829216003,0.9431739449501038,0.8734657764434814,0.9497023820877075,17,1.7000000476837158,0.2511567771434784,0.22340944409370422,0.25213566422462463,0.27329814434051514
0.9450663924217224,0.9371470808982849,0.8519936800003052,0.9476301670074463,18,1.7999999523162842,0.2774854898452759,0.23187080025672913,0.23118674755096436,0.25945696234703064
0.9366081357002258,0.9282703995704651,0.8410378098487854,0.944725513458252,19,1.899999976158142,0.300248920917511,0.23099349439144135,0.2373092770576477,0.2314481884241104
0.93021160364151,0.9216753840446472,0.8424382209777832,0.9439581632614136,20,2.0,0.30823612213134766,0.2348027229309082,0.2418205887079239,0.21514061093330383
0.9268311858177185,0.9162017703056335,0.8240548968315125,0.9282154440879822,21,2.0999999046325684,0.277741402387619,0.22456926107406616,0.2436302751302719,0.2540590465068817
0.9188048243522644,0.9136502742767334,0.8076145052909851,0.9216476082801819,22,2.200000047683716,0.29330211877822876,0.2038685828447342,0.24429398775100708,0.2585352659225464
0.912777304649353,0.9073451161384583,0.8092841506004333,0.9145487546920776,23,2.299999952316284,0.3042948544025421,0.19829359650611877,0.2413024604320526,0.2561090588569641
