cov_scale_s1,cov_scale_s2,cov_scale_s3,cov_scale_s4,fault_active_s1,fault_active_s2,fault_active_s3,fault_active_s4,g_s1,g_s2,g_s3,g_s4,gate_supervision_mask_s1,gate_supervision_mask_s2,gate_supervision_mask_s3,gate_supervision_mask_s4,gate_target_s1,gate_target_s2,gate_target_s3,gate_target_s4,k,t,valid_s1,valid_s2,valid_s3,valid_s4,w_s1,w_s2,w_s3,w_s4
1.012507438659668,1.0136052370071411,1.0127414464950562,1.0130746364593506,0.0,0.0,0.0,0.0,0.7437689304351807,0.7395807504653931,0.7183791399002075,0.7518745064735413,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0,0.0,1.0,1.0,1.0,1.0,0.26549702882766724,0.23380188643932343,0.25028955936431885,0.2504115402698517
1.0186583995819092,1.0204179286956787,1.0190171003341675,1.0198813676834106,0.0,0.0,0.0,0.0,0.737883448600769,0.7366195917129517,0.7150889039039612,0.7539921998977661,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,1,0.10000000149011612,1.0,1.0,1.0,1.0,0.2667922079563141,0.23388826847076416,0.2516535222530365,0.24766601622104645
1.0224931240081787,1.0244946479797363,1.0226812362670898,1.0233896970748901,0.0,0.0,0.0,0.0,0.741432249546051,0.7310489416122437,0.7091845870018005,0.7424671053886414,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,2,0.20000000298023224,1.0,1.0,1.0,1.0,0.2657588720321655,0.23189352452754974,0.2517729103565216,0.25057461857795715
1.0260320901870728,1.0282987356185913,1.0271496772766113,1.0269733667373657,0.0,0.0,0.0,0.0,0.7322831749916077,0.728915274143219,0.7057722806930542,0.7343870401382446,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,3,0.30000001192092896,1.0,1.0,1.0,1.0,0.2674047648906708,0.2354433685541153,0.24382264912128448,0.2533292770385742
1.0309526920318604,1.0321853160858154,1.0307210683822632,1.030699372291565,0.0,0.0,0.0,0.0,0.7329720258712769,0.7273392677307129,0.6999362707138062,0.733612596988678,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,4,0.4000000059604645,1.0,1.0,1.0,1.0,0.25616255402565,0.23900532722473145,0.24776750802993774,0.2570646107196808
1.0343306064605713,1.0356295108795166,1.0338977575302124,1.0342975854873657,0.0,0.0,0.0,0.0,0.7254180312156677,0.7258269786834717,0.695593535900116,0.7459805607795715,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,5,0.5,1.0,1.0,1.0,1.0,0.25426119565963745,0.23963113129138947,0.2478802502155304,0.2582274377346039
1.0402846336364746,1.0410727262496948,1.038597583770752,1.0395063161849976,0.0,0.0,0.0,0.0,0.7220093607902527,0.7227600812911987,0.6850266456604004,0.7321281433105469,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,6,0.6000000238418579,1.0,1.0,1.0,1.0,0.24979239702224731,0.2414540946483612,0.25155115127563477,0.2572023570537567
1.0462521314620972,1.047958493232727,1.0449721813201904,1.04671049118042,0.0,0.0,0.0,0.0,0.721145510673523,0.7176986336708069,0.6812910437583923,0.7274290323257446,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,7,0.699999988079071,1.0,1.0,1.0,1.0,0.2562505602836609,0.2400396764278412,0.25145772099494934,0.2522520124912262
1.0518083572387695,1.0532777309417725,1.0503238439559937,1.0520321130752563,0.0,0.0,0.0,0.0,0.7231749892234802,0.7204151749610901,0.6788675785064697,0.7204333543777466,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,8,0.800000011920929,1.0,1.0,1.0,1.0,0.2553531527519226,0.24321596324443817,0.2500358819961548,0.251395046710968
1.0589897632598877,1.0617121458053589,1.0583391189575195,1.0600001811981201,0.0,0.0,0.0,0.0,0.7094224095344543,0.718498945236206,0.6730937957763672,0.7141754031181335,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,9,0.8999999761581421,1.0,1.0,1.0,1.0,0.25745874643325806,0.2429785430431366,0.24820099771022797,0.25136175751686096
1.0693110227584839,1.0719965696334839,1.0677756071090698,1.0712343454360962,0.0,0.0,0.0,0.0,0.7123339176177979,0.7131210565567017,0.6709926128387451,0.7187324166297913,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,10,1.0,1.0,1.0,1.0,1.0,0.25776568055152893,0.24308210611343384,0.2505530118942261,0.24859917163848877
1.077498197555542,1.079983115196228,1.0757436752319336,1.0787320137023926,0.0,0.0,0.0,0.0,0.7022569179534912,0.7088585495948792,0.6703434586524963,0.7161245942115784,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,11,1.100000023841858,1.0,1.0,1.0,1.0,0.25404083728790283,0.24376240372657776,0.2506316900253296,0.25156503915786743
1.085331678390503,1.0894687175750732,1.0835094451904297,1.0874972343444824,0.0,0.0,0.0,0.0,0.7018342614173889,0.7070722579956055,0.6683815121650696,0.7110591530799866,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,12,1.2000000476837158,1.0,1.0,1.0,1.0,0.2574786841869354,0.24050162732601166,0.25260674953460693,0.24941295385360718
1.0970649719238281,1.1012279987335205,1.094982624053955,1.1004420518875122,0.0,0.0,0.0,0.0,0.6998751759529114,0.7127745151519775,0.6707861423492432,0.7125566601753235,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,13,1.2999999523162842,1.0,1.0,1.0,1.0,0.2565738558769226,0.24375741183757782,0.25328534841537476,0.2463834285736084
1.1053680181503296,1.1101362705230713,1.1042801141738892,1.1081315279006958,0.0,0.0,0.0,0.0,0.699333131313324,0.7119317650794983,0.6719496250152588,0.7016938328742981,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,14,1.399999976158142,1.0,1.0,1.0,1.0,0.2575509548187256,0.244090273976326,0.2511717975139618,0.24718695878982544
1.1158087253570557,1.1218699216842651,1.1150739192962646,1.1211373805999756,0.0,0.0,0.0,0.0,0.6943424344062805,0.7119355201721191,0.6722471117973328,0.7031541466712952,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,15,1.5,1.0,1.0,1.0,1.0,0.2588973343372345,0.24449536204338074,0.25295817852020264,0.24364903569221497
