method,method_category,n_runs,num_points_total,rmse_mean,rmse_std,p95_mean,p95_std,p99_mean,p99_std,max_mean,max_std
AVG-3T,rule_baseline,2,402,1.3872914742785238,0.20083609151997456,2.2694035798684573,0.43192854488929333,3.3077290963184103,0.001842318896384573,3.9647143463727157,0.0026218201966048548
CI-3T,rule_baseline,2,402,1.6993219917472664,0.1526549014300676,2.5742274465732597,0.06888424014297596,4.39965977983061,0.004346611182584023,4.973998360575775,0.002847723942310441
ME-RGCF-A0D-HS,learned,2,402,1.301199776157758,0.1417250756209437,1.9178046584129333,0.20187505929117724,3.3169586658477783,0.0038417695354650127,3.7734590768814087,0.0028631197130420533
WAA-MM-3T,rule_baseline,2,402,1.3766943331679942,0.18212644773192915,2.1303404208051746,0.27611355671809534,3.4153413079082395,0.0018170101492341396,3.708528036871212,0.0014344790929514994
single-T1,rule_baseline,2,402,1.7488865083573093,0.16782630659286532,2.5983843495812224,0.10304743752112057,4.370227575082987,0.004681987918087398,5.081910549291319,0.00342461773856738
single-T2,rule_baseline,2,402,1.6873404054404921,0.15895249365224623,2.6045444105514353,0.09013711892109774,3.4050305027351664,0.007846050894042859,4.219682409288346,0.0020536097845833693
single-T3,rule_baseline,2,402,2.4172100084626313,0.23081260167329115,4.064916171888194,0.6342472532610667,5.449600122818219,0.08979387767988779,11.763623328711182,0.005180142290218873
