scenario_id,scenario_label,sensor,num_points,rmse,p95,p99,max
S1R,basic-3track-2evidence,T1,201,1.6302153889040016,2.525518807726141,4.366916909676674,5.079488978865406
S1R,basic-3track-2evidence,T2,201,1.574944019292477,2.540807842525709,3.399482506942454,4.221134530692936
S1R,basic-3track-2evidence,T3,201,2.2540008526361377,3.6164356381583516,5.513093982634703,11.759960414970257
S2R,maneuver-3track-2evidence,T1,201,1.867557627810617,2.671249891436304,4.3735382404893,5.0843321197172315
S2R,maneuver-3track-2evidence,T2,201,1.799736791588507,2.6682809785771617,3.410578498527879,4.218230287883756
S2R,maneuver-3track-2evidence,T3,201,2.580419164289125,4.513396705618035,5.386106263001735,11.767286242452107
