method,scenario,model_seed,p_node,m_node,mean_mp_attn
A0D,S2R,3,P2,M1,0.19639835295392505
A0D,S2R,3,P2,M2,0.3677869772733147
A0D,S2R,3,P2,M3,0.19594110763488123
A0D,S2R,3,P2,M4,0.12083284108348154
A0D,S2R,3,P2,M5,0.11904072368619453
A0D,S2R,3,P3,M1,0.1952934742566958
A0D,S2R,3,P3,M2,0.19470682132303418
A0D,S2R,3,P3,M3,0.36547614018715435
A0D,S2R,3,P3,M4,0.12129079190949302
A0D,S2R,3,P3,M5,0.1232327687280688
A0D,S1R,4,P1,M1,0.8872171109588585
A0D,S1R,4,P1,M2,0.026361134227606196
A0D,S1R,4,P1,M3,0.026668670638209553
A0D,S1R,4,P1,M4,0.02984548798896632
A0D,S1R,4,P1,M5,0.029907595398673666
A0D,S1R,4,P2,M1,0.026348910160103246
A0D,S1R,4,P2,M2,0.8824165261800017
A0D,S1R,4,P2,M3,0.026472240343541648
A0D,S1R,4,P2,M4,0.03208699751997469
A0D,S1R,4,P2,M5,0.03267533190326014
A0D,S1R,4,P3,M1,0.026790211338605454
A0D,S1R,4,P3,M2,0.026619558023353713
A0D,S1R,4,P3,M3,0.8704801655527371
A0D,S1R,4,P3,M4,0.033342768704583546
A0D,S1R,4,P3,M5,0.042767294381388384
A0D,S2R,4,P1,M1,0.8858393828074137
A0D,S2R,4,P1,M2,0.0260123016859465
A0D,S2R,4,P1,M3,0.02639712615689235
A0D,S2R,4,P1,M4,0.029918242445150716
A0D,S2R,4,P1,M5,0.03183294449983841
A0D,S2R,4,P2,M1,0.026546523123238217
A0D,S2R,4,P2,M2,0.8834162541289827
A0D,S2R,4,P2,M3,0.026543951421901954
A0D,S2R,4,P2,M4,0.03208596962712594
A0D,S2R,4,P2,M5,0.031407307203284544
A0D,S2R,4,P3,M1,0.026752976756264913
A0D,S2R,4,P3,M2,0.026387674344786956
A0D,S2R,4,P3,M3,0.8677249328414006
A0D,S2R,4,P3,M4,0.03326903102891659
A0D,S2R,4,P3,M5,0.04586538956940767
